消費品項,class
【Shiny 藍格子】素色腰鬆緊不規則假兩件褲裙,衣/下身類
【Lydia】現貨 日系學院風側拉鏈高腰百褶裙短褲,衣/下身類
【SISTERS】輕丹寧貓咪口袋牛仔寬褲裙,衣/下身類
【Amore】 韓版親膚多色冰絲短褲,衣/下身類
【AREXSPORT】假兩件 登山壓力褲 假兩件運動褲 女壓力褲 大碼壓力褲 緊身褲 長褲,衣/下身類
【OB 嚴選】涼感彈力鬆緊腰長褲,衣/下身類
【KeyWear 奇威名品】時尚格紋不對襯運動風褲裙,衣/下身類
【ONEY 歐妮】涼爽氣質仙女闊腿褲裙,衣/下身類
【LANNI 藍尼】工裝感休閒舒適褲裙,衣/下身類
【ONEY 歐妮】舒適休閒工裝感褲裙,衣/下身類
【ASister 小姊姊】牛仔裙/長裙☆加大尺碼超顯瘦日系抽繩牛仔開叉A字長裙,衣/下身類
【ASister 小姊姊】牛仔裙☆加大尺碼顯瘦高腰收腹A字牛仔裙/長裙,衣/下身類
【D.studio】韓版高腰側開叉牛仔A字裙,衣/下身類
【Shiny 藍格子】高腰顯瘦包臀開叉擺牛仔中長A字裙,衣/下身類
【5th STREET】女裝刷色牛仔短裙,衣/下身類
【Master Max】後鬆緊腰頭水洗感休閒牛仔長裙,衣/下身類
【Amore】經典氣質修身牛仔開衩長裙,衣/下身類
【初色】復古高腰顯瘦休閒百搭透氣水洗牛仔裙A字裙中長裙半身裙,衣/下身類
【初色】小香風粗花毛呢針織混亮絲高腰顯瘦A字裙短裙中長裙半身裙,衣/下身類
【ADISI】女吸濕速乾修身運動短裙,衣/下身類
【BLUE WAY】女裝 後立體口袋 短裙 裙子,衣/下身類
【Iris Girls 艾莉詩】甜美滿分百褶短裙,衣/下身類
【Le Polka】浪花印花Ａ字短裙-女,衣/下身類
【CHACO】 韓系漸變色亮片星星仙女網紗半身長裙,衣/下身類
【CHACO】優雅立體花朵刺繡網紗半身長裙,衣/下身類
【gozo】壓褶鬆緊造型紗裙,衣/下身類
【IENA】浪漫珠光網紗裙,衣/下身類
【iROO】飄逸網紗長裙,衣/下身類
【初色】現貨 網紗氣質顯瘦高腰百褶A字半身裙,衣/下身類
【buyer 白鵝】夢幻 拼色紗腰鬆緊長裙紗裙,衣/下身類
【CHACO】女高腰優雅立體蝴蝶刺繡網紗半身長裙,衣/下身類
【Chudan 初丹】假兩件拼接長紗裙,衣/下身類
BUFFALO平口褲,衣/內著類
科克蘭平口褲,衣/內著類
風神紳仕免洗平口褲,衣/內著類
QUEENSHOP_ S 女裝 撞色綁帶設計細肩背心,衣/內著類
W AIRism棉質BRATOP平口背心,衣/內著類
柔軟羅紋坦克背心,衣/內著類
棉質背心,衣/內著類
無袖運動背心,衣/內著類
內搭發熱衣,衣/內著類
內搭背心,衣/內著類
內襯安全褲,衣/內著類
挺胸美BRATOP細肩帶背心,衣/內著類
棉質內衣,衣/內著類
無鋼圈內衣,衣/內著類
運動型內衣,衣/內著類
蕾絲內衣,衣/內著類
壓力內衣,衣/內著類
無縫內褲,衣/內著類
三角內褲,衣/內著類
四角內褲,衣/內著類
低腰內褲,衣/內著類
高腰內褲,衣/內著類
男士平角內褲,衣/內著類
女士安全褲,衣/內著類
發熱內衣,衣/內著類
保暖內衣套裝,衣/內著類
內搭發熱背心,衣/內著類
男士內衣背心,衣/內著類
女士無痕內衣,衣/內著類
吸濕排汗內衣,衣/內著類
全棉內褲,衣/內著類
輕薄內衣,衣/內著類
男士秋衣秋褲,衣/內著類
女士內搭褲,衣/內著類
孕婦內衣褲,衣/內著類
護理內衣,衣/內著類
大碼內衣,衣/內著類
抗菌內衣褲,衣/內著類
冰絲內褲,衣/內著類
兒童內衣套裝,衣/內著類
內衣加厚襯墊,衣/內著類
蕾絲吊帶內衣,衣/內著類
親膚無痕內衣,衣/內著類
純棉背心,衣/內著類
無袖內搭衫,衣/內著類
內衣肩帶,衣/內著類
運動內搭褲,衣/內著類
內搭安全褲,衣/內著類
防曬內搭衣,衣/內著類
彈性內衣褲,衣/內著類
防靜電內衣,衣/內著類
PUMA男短襪,衣/內著類
日拋中筒免洗襪,衣/內著類
半統襪,衣/內著類
白色U領內衣,衣/內著類
休閒襪,衣/內著類
防走光矽膠胸貼,衣/內著類
兩穿式軟鋼圈成套內衣,衣/內著類
活力免洗船型襪,衣/內著類
清秀佳人-三角免洗褲,衣/內著類
精品免洗休閒襪,衣/內著類
襪子,衣/內著類
秋冬毛襪,衣/內著類
隱形襪,衣/內著類
壓力襪,衣/內著類
保暖內衣褲,衣/內著類
內衣,衣/內著類
內褲,衣/內著類
透氣運動內衣,衣/內著類
冰絲無痕內衣套裝,衣/內著類
【SISTERS】雙色拼接內磨毛假兩件短裙內搭褲,衣/內著類
【SISTERS】MIT抗寒保暖內磨毛短裙假兩件內搭褲,衣/內著類
【OB 嚴選】假兩件式交叉層次裙襬包臀短裙內搭褲,衣/內著類
保暖褲襪,衣/其它
【adidas 愛迪達】慢跑鞋 運動鞋,衣/其它
【UNDER ARMOUR】 UA 男女款 慢跑鞋 運動鞋,衣/其它
CROCODILE都會迷彩前開式雨衣,衣/其它
丁晴橡膠手套,衣/其它
成人PE輕巧雨衣,衣/其它
花花削肩美胸比基尼,衣/其它
帶胸墊睡衣 睡衣女夏季 短袖薄款 春夏天 純棉睡衣 女士睡衣,衣/其它
悠活緩壓室外拖鞋,衣/其它
琨蒂絲美腿魅惑小網彈性褲襪,衣/其它
萬聖變裝,衣/其它
運動休閒裝,衣/其它
新式運動鞋,衣/其它
睡衣女夏季 短袖短裤睡衣 带胸垫,衣/其它
顯瘦增高時尚跟鞋 低跟包鞋 微方頭平底休閒鞋 禮鞋,衣/其它
睡衣套裝,衣/其它
防曬手套,衣/其它
毛線帽,衣/其它
遮陽帽,衣/其它
防水鞋套,衣/其它
皮革手套,衣/其它
腳底隱形鞋墊,衣/其它
棉質睡帽,衣/其它
護膝,衣/其它
運動護腕,衣/其它
女包 側背包 半月包,衣/其它
【NIKE 耐吉】輕量慢跑鞋 男女款運動鞋,衣/其它
【PUMA 彪馬】全地形越野跑鞋 登山鞋,衣/其它
GORE-TEX防水透氣外套 男款風雨衣,衣/其它
花色刺繡防曬遮陽帽 寬邊帽,衣/其它
成人一次性防護雨衣 輕便攜帶,衣/其它
高筒保暖雪靴,衣/其它
高彈性運動護膝 保護裝備,衣/其它
冬季加絨觸屏手套,衣/其它
兒童卡通圖案雨靴 防水鞋,衣/其它
時尚壓力褲襪 彈性塑腿襪,衣/其它
夏日防曬袖套,衣/其它
休閒百搭小白鞋 透氣帆布鞋,衣/其它
居家棉質睡衣套裝 長袖長褲,衣/其它
多功能運動腰包 戶外跑步用,衣/其它
日系花邊睡帽 棉質柔軟舒適,衣/其它
經典款翻毛皮樂福鞋,衣/其它
花色泳衣女 神秘印花比基尼,衣/其它
針織圍巾,衣/其它
時尚百搭皮帶 真皮腰帶,衣/其它
耐用橡膠手套 廚房清潔專用,衣/其它
軟底室內拖鞋 防滑居家鞋,衣/其它
訓練用運動護腕 透氣吸汗,衣/其它
時尚潮流背包 多功能雙肩包,衣/其它
防滑鞋墊 透氣吸濕鞋墊,衣/其它
室內拖鞋購買,衣/其它
【土豆星球】牛頭牌台灣鞋／土豆系列商品：土豆二代,衣/其它
【土豆星球】牛頭牌台灣鞋／土豆系列商品：土豆廚師鞋,衣/其它
酷狗寶貝牛仔吊帶褲,衣/長衣類
中長款西裝外套,衣/長衣類
羊毛大衣,衣/長衣類
鋪棉大衣,衣/長衣類
牛角扣大衣,衣/長衣類
長版針織毛衣,衣/長衣類
連帽長版衛衣,衣/長衣類
襯衫式長版外套,衣/長衣類
連身洋裝,衣/長衣類
雙排扣長版風衣,衣/長衣類
輕羽絨長版外套,衣/長衣類
長版羽絨服,衣/長衣類
中式長衫,衣/長衣類
和服,衣/長衣類
長版羊毛大衣,衣/長衣類
寬鬆長版針織衫,衣/長衣類
襯衫式連身裙,衣/長衣類
連帽長版抓絨外套,衣/長衣類
長版防風防水夾克,衣/長衣類
毛絨長版外套,衣/長衣類
中長版襯衫裙,衣/長衣類
長版西裝外套,衣/長衣類
長款牛仔外套,衣/長衣類
長版法蘭絨外套,衣/長衣類
長版連帽斗篷,衣/長衣類
長版針織連衣裙,衣/長衣類
寬鬆長版連帽毛衣,衣/長衣類
及膝長版棉服,衣/長衣類
寬鬆長版襯衫裙,衣/長衣類
韓版中長款連帽外套,衣/長衣類
長版防曬外套,衣/長衣類
長版衝鋒衣,衣/長衣類
長版無袖連衣裙,衣/長衣類
長版雙面穿大衣,衣/長衣類
寬鬆長版工裝外套,衣/長衣類
長版羊絨外套,衣/長衣類
長版仿皮草大衣,衣/長衣類
中長款皮革風衣,衣/長衣類
長款襯衫式外套,衣/長衣類
長版運動風連帽外套,衣/長衣類
連帽長版羽絨馬甲,衣/長衣類
長版休閒運動裙,衣/長衣類
連身長裙,衣/長衣類
中長款禮服裙,衣/長衣類
寬鬆長版防風衣,衣/長衣類
長版背心連衣裙,衣/長衣類
長版針織開衫,衣/長衣類
長版長袖襯衫裙,衣/長衣類
長版工裝夾克,衣/長衣類
中長款襯衫式連衣裙,衣/長衣類
長版休閒風衣外套,衣/長衣類
【初色】雪紡簡約純色中腰短袖口袋荷葉邊裙中長裙連衣裙連身洋裝,衣/長衣類
【Amore】初秋多色長版優雅氣質洋裝,衣/長衣類
【艾美時尚】女裝 丹寧 長裙 減齡後開衩休閒牛仔吊帶裙,衣/長衣類
【ONEY 歐妮】月牙吊帶開岔兩側口袋牛仔裙,衣/長衣類
【漂亮小媽咪】夏日 背心長裙 無袖 親膚 吊帶裙 孕婦裝 背心裙 背心洋裝,衣/長衣類
【漂亮小媽咪】夏日 背後 壓摺 背心長裙 無袖 棉麻 吊帶裙 口袋 背心裙,衣/長衣類
【OB 嚴選】百搭素色質感長袖洋裝,衣/長衣類
【艾美時尚】中大尺碼女裝 背帶裙 減齡丹寧背心牛仔網紗吊帶裙,衣/長衣類
台鐵區間車票,行/台鐵
台鐵自強號車票,行/台鐵
台鐵月台票,行/台鐵
台鐵便當,行/台鐵
台鐵觀光列車,行/台鐵
台鐵復興號車票,行/台鐵
台鐵鐵道紀念品購買,行/台鐵
台鐵站內自動售票機購票,行/台鐵
台鐵車廂內零食購買,行/台鐵
台鐵行李托運服務,行/台鐵
台鐵車廂升等,行/台鐵
台鐵團體票,行/台鐵
台鐵訂票手續費,行/台鐵
台鐵電子票券充值,行/台鐵
台鐵電子票卡購買,行/台鐵
台鐵通勤族定期票,行/台鐵
台鐵郵輪式列車票,行/台鐵
台鐵車站手推車租借,行/台鐵
台鐵自行車攜帶票,行/台鐵
台鐵車站儲物櫃租借,行/台鐵
台鐵候車室飲料購買,行/台鐵
台鐵平日早鳥票,行/台鐵
台鐵兒童優惠票,行/台鐵
台鐵車站接駁車,行/台鐵
台鐵車內點心購買,行/台鐵
台鐵旅遊套票,行/台鐵
台鐵團體旅遊票,行/台鐵
台鐵公司福利票,行/台鐵
台鐵學生票,行/台鐵
台鐵車站周邊旅遊導覽,行/台鐵
台鐵列車內便當預訂,行/台鐵
台鐵票務更改手續費,行/台鐵
台鐵臥鋪車廂票,行/台鐵
台鐵國際遊客通行卡,行/台鐵
台鐵車廂內咖啡購買,行/台鐵
台鐵會員積分兌換票,行/台鐵
台鐵家庭套票,行/台鐵
台鐵觀光列車特色便當,行/台鐵
台鐵長者優惠票,行/台鐵
台鐵站內自動售票機充值,行/台鐵
台鐵列車內Wi-Fi使用費,行/台鐵
台鐵特殊行程包車票,行/台鐵
台鐵站內便當預購服務,行/台鐵
台鐵自助售票機充值,行/台鐵
台鐵平日促銷票,行/台鐵
台鐵貓空觀光列車票,行/台鐵
台鐵手工月台票,行/台鐵
台鐵特快車優惠票,行/台鐵
台鐵節日加班車票,行/台鐵
台鐵行李保險服務,行/台鐵
台鐵綠島號船車聯票,行/台鐵
台鐵列車內冷飲購買,行/台鐵
台鐵推車租借服務,行/台鐵
台鐵站內按摩椅使用費,行/台鐵
台鐵青年旅行卡,行/台鐵
台鐵車票優惠券兌換,行/台鐵
台鐵公司員工折扣票,行/台鐵
台鐵觀光列車車廂租賃,行/台鐵
台鐵列車內圖書借閱服務,行/台鐵
台鐵團體旅遊票申請費,行/台鐵
台鐵長程旅遊行李配送,行/台鐵
台鐵站內便利店消費,行/台鐵
自行車輪胎更換,行/自行車
自行車打氣站費用,行/自行車
自行車燈具購買,行/自行車
自行車車架維修,行/自行車
自行車變速器更換,行/自行車
自行車車座升級,行/自行車
自行車剎車線維修,行/自行車
自行車行李架購買,行/自行車
自行車水壺架購買,行/自行車
自行車夜間反光條,行/自行車
自行車運動眼鏡購買,行/自行車
自行車專業手套,行/自行車
自行車防水車罩,行/自行車
自行車折疊鎖購買,行/自行車
自行車車鈴購買,行/自行車
自行車擋泥板安裝,行/自行車
自行車鏈條潤滑劑,行/自行車
自行車車燈更換,行/自行車
自行車水壺座安裝,行/自行車
自行車修理工具組,行/自行車
自行車專用頭盔,行/自行車
自行車運動手套,行/自行車
自行車專用踏板,行/自行車
自行車輪胎氣嘴,行/自行車
自行車手機支架購買,行/自行車
自行車碼表,行/自行車
自行車變速器調整服務,行/自行車
自行車防水車包,行/自行車
自行車腳踏板更換,行/自行車
自行車鏈條清潔工具,行/自行車
自行車專用車架安裝,行/自行車
自行車兒童座椅購買,行/自行車
自行車防曬座墊,行/自行車
自行車專用鎖,行/自行車
自行車騎行眼鏡,行/自行車
自行車運動帽,行/自行車
自行車風鏡,行/自行車
自行車反光條購買,行/自行車
自行車避震系統升級,行/自行車
自行車車座海綿墊,行/自行車
自行車專業維修工具,行/自行車
自行車打氣筒購買,行/自行車
自行車摺疊工具包,行/自行車
自行車專用車廂,行/自行車
自行車車輪軸承購買,行/自行車
自行車避震器升級,行/自行車
自行車碟煞更換,行/自行車
自行車鏈條潤滑劑購買,行/自行車
自行車車燈安裝服務,行/自行車
自行車變速系統調整,行/自行車
自行車車座套購買,行/自行車
自行車水壺架固定器,行/自行車
自行車兒童座椅維修,行/自行車
自行車防水車包購買,行/自行車
自行車手把維護,行/自行車
自行車輪胎防滑胎購買,行/自行車
自行車車鈴更換,行/自行車
自行車安全帽清潔服務,行/自行車
自行車專用雨衣購買,行/自行車
自行車專用工具組,行/自行車
自行車防盜設備安裝,行/自行車
自行車專用騎行襪,行/自行車
自行車手電筒,行/自行車
自行車停車架安裝,行/自行車
汽車加油,行/汽車
汽車機油更換,行/汽車
汽車停車費,行/汽車
高速公路過路費,行/汽車
汽車保養,行/汽車
汽車美容,行/汽車
汽車雨刷更換,行/汽車
汽車輪胎平衡調整,行/汽車
高速公路計次票購買,行/汽車
汽車冷氣濾網更換,行/汽車
汽車GPS導航系統購買,行/汽車
汽車行車記錄器購買,行/汽車
汽車電瓶更換,行/汽車
汽車年檢費用,行/汽車
汽車租賃,行/汽車
汽車機油添加劑,行/汽車
汽車刮水器更換,行/汽車
車內空氣清新劑購買,行/汽車
汽車輪胎充氣服務,行/汽車
電動車充電服務,行/汽車
車輛拖吊服務,行/汽車
高速公路服務區停車費,行/汽車
汽車年檢排放測試費,行/汽車
車內除濕袋購買,行/汽車
汽車電子狗購買,行/汽車
汽車鑰匙電池更換,行/汽車
汽車內飾清潔服務,行/汽車
汽車冷氣維修,行/汽車
汽車暖風系統檢修,行/汽車
汽車打蠟美容,行/汽車
汽車輪圈更換,行/汽車
車窗隔熱紙貼膜,行/汽車
車內導航系統更新,行/汽車
自助洗車機使用費,行/汽車
車用手機支架購買,行/汽車
汽車擋風玻璃修復,行/汽車
汽車避震器更換,行/汽車
汽車剎車盤維修,行/汽車
車內地毯清洗服務,行/汽車
汽車遙控器購買,行/汽車
車內急救箱購買,行/汽車
汽車應急電源購買,行/汽車
汽車香氛片,行/汽車
汽車頂架安裝,行/汽車
車輛臨時泊車費,行/汽車
汽車車內香氛擴散器,行/汽車
汽車電動窗維修費,行/汽車
車內USB充電裝置購買,行/汽車
汽車空調系統清洗,行/汽車
汽車音響設備升級,行/汽車
汽車後備箱儲物箱購買,行/汽車
汽車車頂行李架安裝,行/汽車
汽車車窗防爆膜貼膜,行/汽車
汽車擋風玻璃修補費,行/汽車
汽車內飾除味服務,行/汽車
汽車胎壓監測設備購買,行/汽車
車用吸塵器購買,行/汽車
汽車電瓶充電服務,行/汽車
汽車內飾氛圍燈安裝,行/汽車
汽車行李箱內墊購買,行/汽車
車內手機無線充電設備,行/汽車
汽車駕駛座靠墊購買,行/汽車
車輛美容,行/汽車
車內急救包購買,行/汽車
遊覽車包車服務,行/其它
計程車車資,行/其它
客運車票,行/其它
旅遊巴士票,行/其它
停車場月租費,行/其它
95+無鉛,行/其它
95Plus無鉛,行/其它
95無鉛,行/其它
95無鉛汽油,行/其它
９５無鉛汽油,行/其它
98無鉛汽油,行/其它
Parking fee,行/其它
九二無鉛汽油,行/其它
九八無鉛,行/其它
九八無鉛汽油,行/其它
九五無鉛汽油,行/其它
停車場收入,行/其它
停車場費用,行/其它
停車費,行/其它
停車費用,行/其它
業外收入.停車場-新光三越-停車場收入,行/其它
旅遊巴士導覽行程,行/其它
城市觀光小火車票,行/其它
豪華郵輪船票,行/其它
客運提早訂票折扣,行/其它
客運站內行李寄放費,行/其它
城市共享電動滑板車租賃,行/其它
路邊停車場掃碼繳費,行/其它
碼頭輪渡船票,行/其它
夜間計程車加成費,行/其它
長途大巴豪華座票,行/其它
觀光遊覽車租賃費,行/其它
碼頭渡輪票,行/其它
城市觀光巴士票,行/其它
長途大巴車票,行/其它
旅遊巴士行程,行/其它
共享電動滑板車費用,行/其它
停車場月票,行/其它
移動電源租借,行/其它
租車服務,行/其它
短程電動車租借費,行/其它
城市輕軌車票,行/其它
路邊停車場計時費,行/其它
電動代步車租賃費,行/其它
停車場超時罰款,行/其它
碼頭貨物托運服務,行/其它
騎行共享單車費用,行/其它
共享汽車短租費,行/其它
計程車預約服務費,行/其它
旅遊接駁專車費用,行/其它
觀光火車票,行/其它
旅遊租車保險費用,行/其它
觀光纜車票,行/其它
高山滑雪纜車票,行/其它
市區小型巴士票,行/其它
旅遊景點接駁車票,行/其它
跨境大巴車票,行/其它
夜間接送服務費,行/其它
計程車拼車服務,行/其它
客運站內自動售票機購票,行/其它
旅遊巴士私人包車,行/其它
路邊停車計時收費,行/其它
共享電動腳踏車租借費,行/其它
旅遊景點接駁巴士票,行/其它
高速客運包月票,行/其它
城市交通一卡通充值,行/其它
長途大巴超重行李費,行/其它
碼頭輪渡車票,行/其它
豪華遊艇包船服務,行/其它
客運車內飲料購買,行/其它
計程車預約費,行/其它
觀光遊覽船票,行/其它
旅遊巴士車票折扣券,行/其它
旅遊巴士導遊服務費,行/其它
旅遊大巴臨時購票費,行/其它
夜間巴士票,行/其它
國內機票,行/飛機
國際機票,行/飛機
機場接駁巴士票,行/飛機
託運行李費用,行/飛機
飛機機上餐飲購買,行/飛機
飛機頭等艙升等費用,行/飛機
飛機商務艙貴賓室使用,行/飛機
機場快速通關服務,行/飛機
機場行李打包服務,行/飛機
國際航班登機行李超重費,行/飛機
飛機機上WiFi使用費,行/飛機
飛機機上免稅品購買,行/飛機
機場餐飲消費,行/飛機
飛機行李加購額度,行/飛機
機場交通接駁,行/飛機
飛機登機牌補發手續費,行/飛機
機場貴賓室消費,行/飛機
飛機機上電影付費,行/飛機
飛機行李超重費用,行/飛機
機場接駁車服務,行/飛機
飛機機上餐點升級,行/飛機
飛機機上購物,行/飛機
機場免費Wi-Fi升級服務,行/飛機
飛機寵物托運服務,行/飛機
機場航廈停車費,行/飛機
飛機票改期手續費,行/飛機
飛機票退票費用,行/飛機
飛機機上按摩椅使用費,行/飛機
機場行李推車租賃,行/飛機
機場巴士接送服務,行/飛機
飛機會員積分兌換手續費,行/飛機
機場VIP停車場使用費,行/飛機
飛機臨時票,行/飛機
飛機機上耳機購買,行/飛機
飛機機上閱讀燈租借,行/飛機
飛機機上書籍購買,行/飛機
飛機頭等艙休息室使用,行/飛機
飛機延誤保險購買,行/飛機
飛機票務代理服務費,行/飛機
機場行李箱打包膜,行/飛機
飛機機上急救藥品購買,行/飛機
機場免費巴士服務,行/飛機
飛機機上飲用水購買,行/飛機
飛機快速登機通道費用,行/飛機
機場行李打包塑膜服務,行/飛機
飛機行李額度加購,行/飛機
飛機機上即時翻譯服務,行/飛機
機場休息室淋浴服務,行/飛機
飛機票升等手續費,行/飛機
飛機行李箱標籤購買,行/飛機
機場接駁車票,行/飛機
飛機機上充電設備租借,行/飛機
飛機機上餐點加點,行/飛機
飛機寵物籠租借服務,行/飛機
機場中轉酒店住宿,行/飛機
飛機頭等艙行李優先服務,行/飛機
飛機機上毛毯租用費,行/飛機
機場VIP巴士接送服務,行/飛機
飛機延誤補償服務,行/飛機
機場免稅商品預訂服務,行/飛機
飛機緊急通話服務費,行/飛機
機場快速過海關服務,行/飛機
機場免稅商品退貨手續費,行/飛機
高鐵車票,行/高鐵
高鐵月票,行/高鐵
高鐵早鳥票,行/高鐵
高鐵自由座車票,行/高鐵
高鐵行李託運費,行/高鐵
高鐵定期票,行/高鐵
高鐵商務車廂票,行/高鐵
高鐵學生優惠票,行/高鐵
高鐵長者優惠票,行/高鐵
高鐵信用卡紅利兌換票,行/高鐵
高鐵聯票,行/高鐵
高鐵年票,行/高鐵
高鐵特定時段優惠票,行/高鐵
高鐵週票,行/高鐵
高鐵站內便當購買,行/高鐵
高鐵定期通勤票,行/高鐵
高鐵假日自由行套票,行/高鐵
高鐵旅行套票,行/高鐵
高鐵學生票,行/高鐵
高鐵公司團體票,行/高鐵
高鐵車站寄物服務,行/高鐵
高鐵商務車廂升等,行/高鐵
高鐵接駁巴士票,行/高鐵
高鐵車站內小吃購買,行/高鐵
高鐵網路購票手續費,行/高鐵
高鐵電子票卡充值,行/高鐵
高鐵殘障人士優惠票,行/高鐵
高鐵行李運送服務,行/高鐵
高鐵月台拍攝許可,行/高鐵
高鐵VIP候車室入場,行/高鐵
高鐵早鳥優惠票,行/高鐵
高鐵親子票,行/高鐵
高鐵員工票,行/高鐵
高鐵夜間列車票,行/高鐵
