@relation ProcessedData

@attribute text string
@attribute class {衣/上身類,衣/下身類,衣/內著類,衣/其它,衣/長衣類,行/台鐵,行/自行車,行/汽車,行/其它,行/飛機,行/高鐵,行/機車,住/水,住/瓦斯,住/其它,住/電,其它,食/水果類,食/水產類,食/肉類/牛,食/肉類/羊,食/肉類/豬,食/肉類/雞,食/豆類,食/乳品類,食/其它,食/穀類,食/油脂類,食/蛋類,食/蔬菜類}

@data
'【 5 th STREET 】 女裝 牛仔 直筒 長褲',衣/下身類
'【 5 th STREET 】 女裝 刷色 牛仔 短裙',衣/下身類
'【 a la sha 】 不 對稱 口袋 休閒 寬褲',衣/下身類
'【 a la sha 】 立體 口袋 後 開衩 長裙',衣/下身類
'【 a la sha 】 抓褶 造型 口袋 七分裙',衣/下身類
'【 a la sha 】 率性 水洗 仿 舊 抹茶 長褲',衣/下身類
'【 a la sha 】 率性 水洗 仿 舊 氣球裙',衣/下身類
'【 a la sha 】 微笑 u 造型 剪接 長褲',衣/下身類
'【 a la sha 】 貓咪 鬆緊 筆管 長褲',衣/下身類
'【 adidas 愛迪達 】 ADICOLOR 運動 長裙 女',衣/下身類
'【 adidas 愛迪達 】 adidas T.E.C.H 運動 鋪 棉 長褲',衣/下身類
'【 adidas 愛迪達 】 ADILENIUM SEASON 3 牛仔 長褲',衣/下身類
'【 adidas 愛迪達 】 AEROREADY 四 季 運動 長褲',衣/下身類
'【 adidas 愛迪達 】 TECH 運動 長褲 吸濕 排汗 女',衣/下身類
'【 adidas 愛迪達 】 牛仔 七分褲 女',衣/下身類
'【 adidas 愛迪達 】 休閒褲 長褲 女褲 牛仔褲',衣/下身類
'【 adidas 愛迪達 】 快 乾 涼感 舒適 運動 休閒 短褲',衣/下身類
'【 adidas 愛迪達 】 男款 運動 長褲 縮口褲 平口褲',衣/下身類
'【 adidas 愛迪達 】 運動 長褲 女',衣/下身類
'【 adidas 愛迪達 】 運動 短褲 吸濕 排汗 男',衣/下身類
'【 ADISI 】 女 吸濕 速乾 修身 運動 短裙',衣/下身類
'【 ALLK 歐楷 】 韻律 瑜珈褲',衣/下身類
'【 Amore 】 韓版 親膚 多 色 冰絲 短褲',衣/下身類
'【 Amore 】 日 韓 氣質 垂順 A 字 中 長裙',衣/下身類
'【 Amore 】 初秋 百搭 輕柔 舒適 長裙',衣/下身類
'【 Amore 】 秋冬 日 韓 禦寒 保暖 百搭 保暖褲',衣/下身類
'【 Amore 】 棉質 顯 瘦 百搭 長褲',衣/下身類
'【 Amore 】 經典 氣質 修身 牛仔 開衩 長裙',衣/下身類
'【 Amore 】 韓版 高腰 層次感 網紗裙',衣/下身類
'【 AnZa 】 格紋 毛呢 保暖 九分 寬褲 闊腿褲',衣/下身類
'【 AREXSPORT 】 假 兩 件 登山 壓力褲 假 兩 件 運動褲 女 壓力褲 大碼 壓力褲 緊身褲 長褲',衣/下身類
'【 ART TYPE 雅泰 玉帛 】 功夫褲',衣/下身類
'【 ASister 小 姊姊 】 A 字 牛仔 長裙 顯 瘦 高腰 收腹 A 字 牛仔裙 / 長裙',衣/下身類
'【 ASister 小 姊姊 】 牛仔裙 / 長裙 超 顯 瘦 日系 抽繩 牛仔 開叉 A 字 長裙',衣/下身類
'【 ASister 小 姊姊 】 牛仔裙 顯 瘦 高腰 收腹 A 字 牛仔裙 / 長裙',衣/下身類
'【 betty ’s 貝蒂思 】 網路 獨賣 超激瘦 鬆緊 腰 彈性 休閒褲',衣/下身類
'【 Billgo 】 水洗 涼感 天絲 牛仔褲 - 柔軟 薄款 皮標 男 長褲 刺繡 彈力 休閒褲',衣/下身類
'【 BLUE WAY 】 女裝 後 立體 口袋 短裙 裙子',衣/下身類
'【 BLUE WAY 】 嬉皮 貼 皮 繡花 牛仔 靴型褲',衣/下身類
'【 BOBSON 】 女款 特降 修身 美腿褲',衣/下身類
'【 BOBSON 】 狂降 修身 美型 丹寧褲',衣/下身類
'【 BODYAIR 】 任 韓妞 必 敗 時尚 運動褲',衣/下身類
'【 BODYAIR 】 韓妞 必 敗 時尚 運動褲',衣/下身類
'【 buyer 白鵝 】 夢幻 拼色 紗腰 鬆緊 長裙 紗裙',衣/下身類
'【 CHACO 】 韓系 漸變色 亮片 星星 仙女 網紗 半 身 長裙',衣/下身類
'【 CHACO 】 女 高腰 優雅 立體 蝴蝶 刺繡 網紗 半 身 長裙',衣/下身類
'【 CHACO 】 優雅 立體 花朵 刺繡 網紗 半 身 長裙',衣/下身類
'【 Chudan 初丹 】 假 兩 件 拼接 長紗裙',衣/下身類
'【 D.studio 】 韓版 高直筒 寬鬆 垂感 拖地 牛仔褲',衣/下身類
'【 D.studio 】 韓版 高腰 小個子 垂感 西裝褲',衣/下身類
'【 D.studio 】 韓版 高腰 側 開叉 牛仔 A 字裙',衣/下身類
'【 D.studio 】 韓版 墜感 高腰 顯 瘦 鯊魚 喇叭褲',衣/下身類
'【 Diffa 】 貼 袋 鬆緊 腰抽繩 設計 長 寬褲 - 女',衣/下身類
'【 EDWIN 】 男裝 大師 系列 JERSEYS 迦績 天竹 大師 超彈性 錐形褲',衣/下身類
'【 en-suey 銀穗 】 涼感 腰袢帶 A-line 七 分 褲裙 - 女',衣/下身類
'【 GAP 】 女裝 工裝 長裙 - 卡其色',衣/下身類
'【 GAP 】 女裝 高腰 牛仔 寬褲 / 直筒',衣/下身類
'【 GIAT 】 2.0 升級款 動 時尚 UV 排汗 彈力 機能 壓力褲',衣/下身類
'【 GIAT 】 台灣製 UPF50+ 排汗 高彈力 機能 壓力褲',衣/下身類
'【 GIAT 】 極 輕量 UPF50+ 機能 零感 運動褲',衣/下身類
'【 GIORDANO 佐丹奴 】 女裝 休閒 長褲',衣/下身類
'【 GIORDANO 佐丹奴 】 女裝 G-MOTION 側 拉鍊 束口褲',衣/下身類
'【 GIORDANO 佐丹奴 】 女裝 素色 休閒 運動 束口褲',衣/下身類
'【 GIORDANO 佐丹奴 】 女裝 輕薄 彈力 直筒 牛仔褲',衣/下身類
'【 GIORDANO 佐丹奴 】 女裝 鬆緊 直筒 九分 卡其褲',衣/下身類
'【 GIORDANO 佐丹奴 】 男女裝 防 潑水 日常 機能 長褲',衣/下身類
'【 GIORDANO 佐丹奴 】 男裝 天絲 彈力 直筒 卡其褲',衣/下身類
'【 GIORDANO 佐丹奴 】 男裝 休閒 束口褲',衣/下身類
'【 gozo 】 壓褶 鬆緊 造型 紗裙',衣/下身類
'【 Hang Ten 】 男女裝 - 內 刷毛 抗 菌 除臭 保暖 休閒 運動 長褲',衣/下身類
'【 Hang Ten 】 男女裝 - 四面 彈 防風 防 潑水 口袋 運動 長褲',衣/下身類
'【 IENA 】 浪漫 珠光 網紗裙',衣/下身類
'【 iFit 愛 瘦身 】 Fitty 護膝 壓力褲 - 進階 旗艦 無痕款',衣/下身類
'【 Iris Girls 艾莉詩 】 甜美 滿分 百褶 短裙',衣/下身類
'【 iROO 】 剪接 女人 牛仔 短裙',衣/下身類
'【 iROO 】 飄逸 網紗 長裙',衣/下身類
'【 J.Malo 】 經典款 透氣 運動褲',衣/下身類
'【 JILLI-KO 】 通季 新款 高腰 直筒 寬褲 垂墜感 顯瘦 拖地 牛仔褲 長褲',衣/下身類
'【 JILLIKO 】 後腰 鬆緊 丹寧 顯 瘦 中長裙 垂墜 A字 牛仔裙',衣/下身類
'【 JU SHOP 】 吸濕 排汗 休閒褲 長褲',衣/下身類
'【 JU SHOP 】 男女款 軟殼 防寒 加絨 保暖 衝鋒褲 休閒褲 長褲 刷毛褲',衣/下身類
'【 KAVU 】 U/O Pant 日系 戶外 繭型 長褲 綠色 中性款',衣/下身類
'【 KERAIA 克萊亞 】 悅然 繆思 腰頭 金屬 裝飾 寬褲',衣/下身類
'【 KERAIA 克萊亞 】 森境 剪影 萊賽爾 寬版 牛仔褲',衣/下身類
'【 KERAIA 克萊亞 】 雲影 漫步 不 對稱 喇叭 牛仔褲',衣/下身類
'【 KERAIA 克萊亞 】 魅力價 - 時光 藍韻 摩登 仿 牛仔 壓褶 直裙',衣/下身類
'【 Key Wear 奇威 名品 】 休閒 舒適 保暖 牛仔褲',衣/下身類
'【 Key Wear 奇威 名品 】 時尚 格紋 不 對襯 運動風 褲裙',衣/下身類
'【 Key Wear 奇威 名品 】 圖騰 細 百褶 半 身 長裙',衣/下身類
'【 KING GOLF 】 女款 滿 版 草寫 英文字 印花 刺繡 A LINE 短裙 / 高爾夫球裙',衣/下身類
'【 KOKOYI 】 速達 - 韓版 蜜桃 修身 彈力 高腰 打底 透氣 提 臀 健身 瑜珈褲',衣/下身類
'【 LANNI 藍尼 】 工裝感 休閒 舒適 褲裙',衣/下身類
'【 LE COQ SPORTIF 公雞 】 平織 運動 長褲 男女款',衣/下身類
'【 Le Polka 】 浪花 印花 A字 短裙 女',衣/下身類
'【 LEVIS 】 男款 上 寬 下 窄 501 排釦 修身 窄管 牛仔褲',衣/下身類
'【 Lydia 】 日系 學院 風 側 拉鏈 高腰 百褶裙 短褲',衣/下身類
'【 Mar Cella 瑪榭 】 女款 柔暖 雙面 短絨 九 分 保暖褲',衣/下身類
'【 Master Max 】 後 腰頭 鬆緊 單釦 舒適 薄 牛仔褲',衣/下身類
'【 Master Max 】 後 鬆緊 腰頭 水洗感 休閒 牛仔 長裙',衣/下身類
'【 MIZUNO 美津濃 】 男 長版 排球褲 - 台灣製 針織 短褲 五分褲 吸濕 排汗 美津濃',衣/下身類
'【 MUJI 無印良品 】 女 吉貝 木棉 混 丹寧 錐形褲',衣/下身類
'【 MUJI 無印良品 】 男 水洗棉 舒適 長褲',衣/下身類
'【 MYVEGA 麥雪爾 】 MA 涼感 彈力 造型 活片 後 鬆緊 八 分 寬褲 / 喇叭褲',衣/下身類
'【 MYVEGA 麥雪爾 】 MA 第六 代 MIT 黃金 剪裁 機能 涼感褲',衣/下身類
'【 MYVEGA 麥雪爾 】 MA 彈力 修身 天絲褲 / 石墨烯 舒壓褲',衣/下身類
'【 MYVEGA 麥雪爾 】 MA 都會 彈力 喇叭褲 / 哈倫褲 / 錐形褲 / 直筒褲',衣/下身類
'【 MYVEGA 麥雪爾 】 MA縲 縈挺版 彈性褲 耳寬褲 / 喇叭褲',衣/下身類
'【 No Morre 】 牛仔褲 中 直筒 牛仔 長褲 中 直筒 牛仔褲 牛仔褲 男 水洗 彈力',衣/下身類
'【 NVDO 】 特 降 麥穗 雪尼爾 加絨 針織 鬆緊 闊腿褲',衣/下身類
'【 OB 嚴選 】 小腰 精棉質 落地 牛仔 長裙',衣/下身類
'【 OB 嚴選 】 涼感 彈力 鬆緊 腰 長褲',衣/下身類
'【 ONEY 歐妮 】 涼爽 氣質 仙女 闊腿 褲裙',衣/下身類
'【 ONEY 歐妮 】 舒適 休閒 工裝感 褲裙',衣/下身類
'【 pierre cardin 皮爾卡登 】 男女款 冰絲 涼感 透氣 彈力 機能褲',衣/下身類
'【 pierre cardin 皮爾卡登 】 男款 四 向 彈力 彈性 腰圍 西裝褲',衣/下身類
'【 pierre cardin 皮爾卡登 】 男款 四 面 彈力 速乾 機能 休閒 長褲',衣/下身類
'【 pierre cardin 皮爾卡登 】 男款 四面 彈 舒適 透氣 內 伸縮 腰頭 休閒 長褲',衣/下身類
'【 pierre cardin 皮爾卡登 】 男款 棉質 彈力 經典 直筒型 休閒 長褲',衣/下身類
'【 pierre cardin 皮爾卡登 】 男女款 機能 防風 防寒 防 潑水 保暖 抓絨 登山 衝鋒 休閒 長褲',衣/下身類
'【 PIN HAPPINESS 】 MIT 台灣製 100\% 純棉 薄 長褲 男女 家居褲 樂齡 家居褲',衣/下身類
'【 PUMA 】 流行 系列 T7 中長裙 女性',衣/下身類
'【 RH 】 高彈性 中高腰 舒適 牛仔褲',衣/下身類
'【 Roots 】 Roots 女裝 - 都會 探索 系列 環保 材質 彈性 長裙',衣/下身類
'【 Shiny 藍 格子 】 素色 腰 鬆緊 不 規則 假 兩 件 褲裙',衣/下身類
'【 Shiny 藍 格子 】 高腰 顯 瘦 包 臀 開叉 擺 牛仔 中長 A字裙',衣/下身類
'【 SISTERS 】 日系 小文青 細坑條 寬褲 褲裙',衣/下身類
'【 SISTERS 】 高腰 收腹 超 顯 瘦 的 寬褲 牛仔褲',衣/下身類
'【 SISTERS 】 很 顯 瘦 百搭 的 大 口袋 丹寧 寬褲 褲裙 牛仔褲',衣/下身類
'【 SISTERS 】 很 顯 瘦 的 素色 後 開衩 鬆緊 腰 牛仔 長裙',衣/下身類
'【 SISTERS 】 高腰 長腿感 顯瘦 小 喇叭 牛仔褲',衣/下身類
'【 SISTERS 】 復古 刷色 顯 瘦 修身 A 字 牛仔裙 長裙',衣/下身類
'【 SISTERS 】 輕 丹寧 貓咪 口袋 牛仔 寬褲裙',衣/下身類
'【 SISTERS 】 顯 瘦 再 推薦 顯 瘦 丹寧 寬褲 牛仔褲',衣/下身類
'【 SISTERS 】 顯 瘦 再 推薦 長腿 視覺 的 丹寧 長褲 寬褲 牛仔褲',衣/下身類
'【 SOMETHING 】 女裝 NEO FIT 綁 帶 條紋 連身 寬褲',衣/下身類
'【 ST.MALO 】 黑金 纖維 石墨烯 升溫 機能 長褲',衣/下身類
'【 STL 】 yoga 韓國 瑜伽 高腰 涼感 女 運動 機能 慢跑 束口褲 長褲',衣/下身類
'【 STL 】 刷毛褲 韓國 Pick Up 保暖 女 落地 直筒 多 口袋 工裝 長褲',衣/下身類
'【 UNDER ARMOUR 】 UA 男 STRETCH WOVEN 運動 長褲',衣/下身類
'【 WOLF WALKERS 】 加絨 加厚 衝鋒褲 戶外 保暖褲 機能褲',衣/下身類
'【 YT shop 】 男女款 - 戶外 機能 軟殼 防風 防 潑水 加絨 保暖 內 刷毛 衝鋒褲',衣/下身類
'【 YT shop 】 男女 運動褲 降溫 吸濕 排汗 速乾褲 涼感褲 工作褲',衣/下身類
'【 巴黎 精品 】 半身裙 長裙',衣/下身類
'【 羽生摺衣 】 i摺衣 - 日系 簡約風 闊腿 小腳褲',衣/下身類
'【 初色 】 高腰 顯 瘦 素色 鬆緊腰 A字裙 中 長裙 半身裙',衣/下身類
'【 初色 】 網紗 氣質 顯 瘦 高腰 百 褶 A 字 半 身裙',衣/下身類
'【 初色 】 九 分 直筒 長褲 寬褲',衣/下身類
'【 初色 】 小 香風 粗 花 毛呢 針織 混亮絲 高腰 顯 瘦 A字裙 短裙 中長裙 半身裙',衣/下身類
'【 初色 】 中大碼 高腰 彈性 腰圍 直筒 闊 腿 顯 瘦 抽繩 寬褲 長褲 牛仔褲 休閒褲',衣/下身類
'【 初色 】 休閒 素色 寬鬆 大 口袋 鬆緊 腰 裝飾 排釦 高腰 顯 瘦 中 長裙 半身裙',衣/下身類
'【 初色 】 柔滑 法式 高腰 A字 半 身裙 長裙',衣/下身類
'【 初色 】 純色 高腰 直筒 寬鬆 休閒 牛仔褲 闊腿褲 寬褲 長褲',衣/下身類
'【 初色 】 純色 寬鬆 垂墜感 休閒 高腰 直筒 寬褲 口袋 長褲 西裝褲',衣/下身類
'【 初色 】 素色 寬鬆 顯 瘦 鬆緊 高腰 大 口袋 半 身 A字裙 中長裙',衣/下身類
'【 初色 】 高腰 寬鬆 直筒 鬆垂感 顯 瘦 牛仔褲 長褲 寬褲 - 白色',衣/下身類
'【 初色 】 復古風 貼標 高腰 鬆緊 抽繩 直筒 牛仔褲 寬褲 長褲',衣/下身類
'【 初色 】 復古 高腰 顯 瘦 休閒 百搭 透氣 水洗 牛仔裙 A字裙 中長裙 半身裙',衣/下身類
'【 初色 】 寬鬆 顯 瘦 直筒 牛仔褲 長褲 寬褲',衣/下身類
'【 初色 】 赫本風 純色 簡約 鉤花 蕾絲 鏤空 大 襬 圍 中 長裙 半身裙',衣/下身類
'Afit 藍銅 胜 太蠶絲 循環 抗腫褲',衣/下身類
'KAWS 休閒 長褲',衣/下身類
'PUMA 男 刷毛 長褲',衣/下身類
'VERTEX100\% 日本 精品 絲 光 緹花 美型褲',衣/下身類
'YASA 重磅 抗 皺坑紋 彈力 直筒褲',衣/下身類
'YASA 完美 隨行 防 潑水 彈力 機能 勻體褲',衣/下身類
'七 分 運動褲',衣/下身類
'九 分 縮口褲',衣/下身類
'中腰 免洗 棉褲',衣/下身類
'正式 西裝褲',衣/下身類
'冰涼 針織 簍空 包臀裙',衣/下身類
'羊毛 保暖 長褲',衣/下身類
'防水 登山褲',衣/下身類
'夜療醫 氧化 石墨烯 修復 冠軍 神褲',衣/下身類
'夜療醫 氧化 石墨烯 護踝 + 丹寧 修復褲',衣/下身類
'夜療醫 氧化 石墨烯 外銷 頂規版 限量 修復褲',衣/下身類
'夜療醫 氧化 石墨烯 醫療 修復 美型褲',衣/下身類
'直筒 牛仔褲',衣/下身類
'修身 小腳褲',衣/下身類
'風神 紳仕 棉褲',衣/下身類
'格紋 休閒褲',衣/下身類
'透氣 跑步褲',衣/下身類
'高腰 牛仔褲',衣/下身類
'甜辣 學院 毛呢 百褶褲裙',衣/下身類
'棉質 運動褲',衣/下身類
'舒芙蕾 涼感 蠶絲 貼合褲',衣/下身類
'寬鬆 運動褲',衣/下身類
'彈性 縮口褲',衣/下身類
'騎行 緊身褲',衣/下身類
'【 24HRS 】 親膚 無痕 內褲 全 款 內褲',衣/內著類
'【 24 HRS 】 冠軍款 無感 深V 內衣',衣/內著類
'【 24 HRS 】 經典款 親膚 無痕 內衣',衣/內著類
'【 adidas 愛迪達 】 男女 運動 短襪 襪子',衣/內著類
'【 AINWEI 艾妮薇 】 聚攏 包覆 無 鋼圈 內衣 / 性感 內衣 / 女 內著 / 無痕 內衣',衣/內著類
'【 BVD 】 石墨烯 乾爽 運動 足弓 男襪',衣/內著類
'【 Calvin Klein 凱文克萊 】 emballage 經典 三角 女 內褲 透氣 棉質 混搭色',衣/內著類
'【 Calvin Klein 】 CK 女生 經典 LOGO 天絲棉 女款 內褲 三角褲',衣/內著類
'【 Chic Chic 琪琪 】 嬰兒棉 抑菌 無痕 女 內褲',衣/內著類
'【 Cool X 】 石墨烯 抗 菌 四 角 短褲 男 內褲',衣/內著類
'【 FOOTER 】 氣墊 登山襪 / 減壓 足弓 運動 除臭襪 高筒 / 中筒 / 船短襪',衣/內著類
'【 FOOTER 除臭襪 】 運動 減壓 吸濕 排汗 氣墊襪 船 短 / 高筒襪',衣/內著類
'【 FOOTER 除臭襪 】 運動 氣墊 中筒 / 船短 / 高筒襪',衣/內著類
'【 FOOTER 除臭襪 】 經典 暢銷 輕 壓力 運動 機能 除臭襪',衣/內著類
'【 I.RISS 伊莉絲 】 內褲 莫代爾 蠶絲 / 嬰兒棉 蠶絲 / 蕾絲 蠶絲',衣/內著類
'【 I.RISS 伊莉絲 】 內褲 輕柔 嬰兒棉 蠶絲 / 面膜 蠶絲 / 莫代爾 蠶絲',衣/內著類
'【 I.RISS 伊莉絲 】 零著感 內衣 款 石墨烯 提拉 塑型 / 石墨烯 無痕 /3D 萊卡 塑形',衣/內著類
'【 KISSDIAMOND 】 超值 高腰 輕 塑 收腹 純棉 內褲',衣/內著類
'【 Kosmiya 】 銀 離子 蕾絲 花朵 中腰 內褲 / 銀 離子 內褲 / 蕾絲 內褲 / 女 內褲',衣/內著類
'【 Ladies 蕾黛絲 】 真水 / 靠過來 BD 罩杯 內衣',衣/內著類
'【 Mar Cella 瑪榭 】 MIT- 薄感 無縫 抗 菌 三角褲 - 中低腰',衣/內著類
'【 Mar Cella 瑪榭 】 MIT 抗 菌 氣墊 款 除臭襪 船襪 / 短襪',衣/內著類
'【 Mar Cella 瑪榭 】 MIT 足弓 加強 透氣 隱形襪',衣/內著類
'【 Mar Cella 瑪榭 】 MIT 足弓 腳踝 加強 運動襪',衣/內著類
'【 Mar Cella 瑪榭 】 MIT 薄感 無縫 抗 菌 三角褲 - 中高腰',衣/內著類
'【 Mar Cella 瑪榭 】 完美 包覆 無痕 無 鋼圈 內衣 直條款',衣/內著類
'【 Mar Cella 瑪榭 】 完美 包覆 無痕 無 鋼圈 內衣 素面款',衣/內著類
'【 Mar Cella 瑪榭 】 桑蠶絲 包覆 無痕 無 鋼圈 內衣 蕾絲款',衣/內著類
'【 Mar Cella 瑪榭 】 無痕 抗 菌 輕薄 三角 內褲 - 痕 隱型',衣/內著類
'【 Mar Cella 瑪榭 】 無痕 抗 菌 輕薄 三角 內褲 - 緊實 包臀 / 完美 無痕',衣/內著類
'【 Mevels 瑪薇絲 】 50 支 精梳棉 石墨烯 底襠 中腰 內褲 / 棉質 內褲 / 女 內褲',衣/內著類
'【 Mevels 瑪薇絲 】 大 尺碼 性感 鏤空 加長 蕾絲 高腰 內褲 / 蠶絲 底襠 / 女 內褲',衣/內著類
'【 Mevels 瑪薇絲 】 大 尺碼 素肌 包覆 無 鋼圈 內衣 / 果凍條 / 無痕 內衣',衣/內著類
'【 Mevels 瑪薇絲 】 心動 迷人 蕾絲 聚攏 包覆 無鋼圈 內衣 / 女 內衣 / 乳膠 內衣',衣/內著類
'【 Mevels 瑪薇絲 】 水溶 蕾絲 無痕 乳膠棉 無鋼圈 內衣',衣/內著類
'【 Mevels 瑪薇絲 】 石墨烯 親膚 棉質 內褲 / 中高腰 內褲 / 內褲',衣/內著類
'【 Mevels 瑪薇絲 】 聚攏 蕾絲 包覆 內衣褲 / 成 套 / 無鋼圈 / 聚攏',衣/內著類
'【 Mevels 瑪薇絲 】 銀 離子 柔軟 無痕 防 夾臀 內褲 / 輕薄 內褲 / 無痕 內褲 / 三角 內褲',衣/內著類
'【 NIKE 耐吉 】 內褲 男生 內褲 四角褲 平口褲 運動 內褲 彈性 內褲 透氣 快乾',衣/內著類
'【 NIKE 耐吉 】 運動襪 休閒襪 長襪 短襪',衣/內著類
'【 NIKE 耐吉 】 中筒 籃球襪 DRIFIT 襪子 運動 訓練 白 灰黑',衣/內著類
'【 NIKE 耐吉 】 襪子 中筒襪 運動襪 訓練襪',衣/內著類
'【 NIKE 耐吉 】 襪子 運動襪',衣/內著類
'【 NIKE 耐吉 】 襪子 運動襪',衣/內著類
'【 NIKE 】 NIKE 運動襪 短襪 襪子',衣/內著類
'【 OB 嚴選 】 假 兩件式 交叉 層次 裙襬 包臀 短裙 內搭褲',衣/內著類
'【 Osun 】 抑菌 純色 石墨烯 女 內褲 高腰 束腹 修身 包臀 棉質 貼身 舒適',衣/內著類
'【 PULO 】 純色 精梳棉 短筒襪',衣/內著類
'【 PULO 】 短襪 + 隱形襪 穿 立淨 混色 涼感 除臭襪',衣/內著類
'【 PULO 】 簡約 百搭 日系 休閒襪 短襪 踝襪',衣/內著類
'【 PULO 】 媽祖 繞境 推薦 厚棉 雙色 氣墊 長襪',衣/內著類
'【 SISTERS 】 MIT 抗 寒 保暖 內 磨毛 短裙 假 兩 件 內搭褲',衣/內著類
